Address (Brooklyn),Close Date,Sale Price,Neighborhood,Square Footage (ft2),PPSF,Type,Beds,Baths,Living Room Width,Living Room Length,Bedroom 1 Width,Bedroom 1 Length,Bedroom 2 Width,Bedroom 2 Length,Bedroom 3 Width,Bedroom 3 Length,"Kitchen Type (Line, L-shape, Island, Galley)",Closets,Walk In (Living Room),Walk In (Master Bedroom),
1437 Hancock street #3B,5/22/2023,"$675,000",Bushwick,704,$959,Condo,1,1,15.5,10.1,16.2,9.8,,,,,Island,0,0,0,
1437 Hancock street #2A,5/25/2023,"$707,000",Bushwick,745,$949,Condo,1,1,9.5,16.6,10.11,9.7,,,,,Island,2,0,0,
1437 Hancock street #1A,5/24/2023,"$345,000",Bushwick,404,$854,Condo,0,1,18.7,19,,,,,,,Line,1,0,0,
292 East 40th street,4/25/2023,"$799,000",East Flatbush,1600,$499,Multi-family,5,3,,,,,,,,,,,,,
1835 East 27th street,5/1/2023,"$1,248,000",Homecrest,1390,$898,House,3,1.5,,,,,,,,,,,,,
1534 East 98th street #100A,5/11/2023,"$235,000",Canarsie,558,$421,Condo,1,1,,,,,,,,,,,,,
575 Fourth avenue #8E,4/27/2023,"$1,295,000",park slope ,1015,"$1,276",New Development,2,2,12,19.1,10.6,14,9.6,11.7,,,Galley,2,0,1,
2660 Ford street,2/14/2023,"$825,000",Sheepshead Bay,1950,$423,Multi-family,3,2.5,,,,,,,,,,,,,
6833 Shore Road #5D,3/9/2023,"$1,100,000",bay Ridge ,1415,$777,Condo,3,2,,,,,,,,,,,,,
207A Prospect Avenue #4,5/4/2023,"$1,150,000",park slope ,1073,"$1,072",Condo,2,2,17.1,17.1,9.8,13,9.8,13.2,8.4,11.5,Island,3,0,0,
7211 Avenue U,4/25/2023,"$599,000",Bergen beach,1119,$535,House,3,1.5,18.7,10.1,12.3,16.8,7.1,10.4,11.1,11.1,Galley,3,0,0,
2639 Haring street,5/4/2023,"$1,299,000",Sheepshead Bay,2600,$500,Multi-family,6,2.5,,,,,,,,,,,,,
483 Hart street,2/13/2023,"$2,500,000",Bushwick,3944,$634,Multi-family,6,5,,,,,,,,,,,,,
510 Driggs Avenue #2C,3/27/2023,"$795,000",Williamsburg,457,"$1,740",Condo,0,1,13,14.1,,,,,,,Galley,1,0,0,
458 East 25th street #303,3/3/2023,"$425,000",Flatbush,500,$850,New Development,1,1,12.7,10.2,10,12,,,,,L-shape,1,1,0,
458 East 25th street #301,3/30/2023,"$575,000",Flatbush,652,$882,New Development,2,1,,,,,,,,,,,,,
251 Avenue T,5/30/2023,"$1,088,000",Gravesend,1840,$591,Multi-family,6,2,,,,,,,,,,,,,
1165 East 54th street #2U,5/4/2023,"$219,000",Flatbush,750,$292,Co-op,2,1,,,,,,,,,,,,,
203 Park Place #2R,5/8/2023,"$925,000",Prospect Heights,,#DIV/0!,Condo,2,1,18.12,16.9,14.6,9,12.2,6.6,,,Island,4,0,0,
1332 76th street ,5/15/2023,"$1,499,000",Dyker Heights,1872,$801,Multi-family,5,3,,,,,,,,,,,,,
1730 East 14th street #5,5/9/2023,"$439,000",Homecrest,,#DIV/0!,Co-op,2,1.5,,,,,,,,,,,,,
87 Remsen street #4F,6/7/2023,"$750,000",Brooklyn Heights,,#DIV/0!,Co-op,1,1,15.6,19.7,8,19.6,,,,,Line,1,0,0,0
550 Vanderbilt Avenue #623,4/12/2023,"$1,200,000",Prospect Heights,847,"$1,417",Condo,1,1,12.6,18.3,11.11,10,,,,,Line,1,0,1,
1651 85th street,5/3/2023,"$750,000",Bensonhurst,1260,$595,House,2,1.5,11.7,17,17.4,9.5,13.11,10.7,,,Line,2,0,0,
47 Plaza street West #15C,5/24/2023,"$3,300,000",park slope ,2770,"$1,191",Co-op,3,4,34.5,17.4,17.4,19.4,12,17.4,11,17.4,Island,10,0,0,
99 Belmont Avenue ,5/3/2023,"$510,000",Brownsville,3200,$159,Mixed-use,,,,,,,,,,,,,,,
855 Carroll street,5/26/2023,"$5,750,000",park slope ,5051,"$1,138",Townhouse,5,4,16.1,17.6,16.2,17.6,16.8,17.6,,,Island,7,0,0,
561 Pacific street #409,4/20/2023,"$2,100,000",Boerum Hill,1530, ,Condo,3,2,26.2,23,18.1,18.4,11.8,12,12.2,10,Island,3,0,1,
175 Adams street #3G,5/30/2023,"$899,000",Downtown Brooklyn,1043,$862,Co-op,2,2,12,22,17,12,13,11,,,Galley,7,0,0,
288 Water street #3B,2/9/2023,"$2,658,000",Vinegar Hill,1665,"$1,596",Condo,3,2.5,28.4,16,14,10,10.11,10.1,,,Island,4,0,1,
73 Hanson Place #3,5/8/2023,"$895,000",Fort Greene ,,#DIV/0!,,,,17,12,18.6,12,11,6.4,,,L-shape,1,0,1,
1285 Shore Parkway,4/28/2023,"$1,199,000",Bath Beach ,1980,$606,Multi-family,4,2,,,,,,,,,,,,,
314 12th street #100,5/10/2023,"$899,000",park slope ,970,$927,Condo,1,2,15.3,18.6,17.6,21,,,,,L-shape,0,0,1,
448 41st street,4/12/2023,"$1,350,000",Sunset Park,2160,$625,Townhouse,6,3,12,10,17,11,12,10,15,10.9,Line,6,0,0,
44 Cheever Place #301,5/31/2023,"$1,100,000",Cobble Hill ,845,"$1,302",Condo,2,1.5,10.11,19,9.4,13.4,"7,3",13,,,L-shape,1,0,1,
29 Decatur street,5/31/2023,"$2,395,000",Bedford-Stuyvesant,2550,$939,Multi-family,4,3.5,12.3,21.1,12.1,13.7,12.5,13.1,,,Line,5,0,1,
170 Madison street,3/16/2023,"$1,495,000",Bedford-Stuyvesant,2300,$650,House,3,1.5,13,15,13,14.6,13,13.6,8.9,11.8,Line,4,0,0,
265 State street #709,5/30/2023,"$2,250,000",Boerum Hill,1343,"$1,675",Condo,2,2,19.4,26,12.1,14,12.8,12.4,,,Island,0,0,1,
312 Garfield Place,6/12/2023,"$8,895,000",park slope ,6500,"$1,368",Townhouse,5,4,13.1,17.2,19.4,20,16,11.4,20.1,12.1,Island,12,2,4,
3165 Nostrand avenue #LB,4/12/2023,"$265,900",homecrest,750,$355,Co-op,2,1,,,,,,,,,Line,,,,
662 49th street,5/17/2023,"$1,580,000",Sunset Park,2440,$648,Multi-family,5,2,,,,,,,,,,,,,
133 Sterling Place #2C,6/6/2023,"$5,995,000",park slope ,3610,"$1,661",Condo,5,4,11,22.7,18.6,10.1,10.1,14.11,9.11,17.2,Island,9,0,1,
2034 West 10th street,3/30/2023,"$1,098,000",Gravesend,2182,$503,Multi-family,4,2.5,14.11,12.7,14.11,13,14.11,17.5,14.1,17.9,,0,0,1,
483 Marion street #Garden,3/21/2023,"$825,000",Ocean Hill,1455,$567,Condo,2,1.5,17.11,14.4,14.4,11.5,,,,,L-shape,1,0,0,
4404 Atlantic Avenue,6/3/2023,"$750,000",Seagate ,2067,$363,Multi-family,5,3,,,,,,,,,,,,,
1420 East 57th street,5/24/2023,"$639,000",Flatlands,1315,$486,House,3,1.5,,,,,,,,,,,,,
36 Buffalo Avenue,5/9/2023,"$1,050,000",Stuyvesant Heights,1901,$552,Multi-family,3,3,,,,,,,,,,,,,
98 Front Street #PH3A,6/7/2023,"$3,775,000",Dumbo,2124,"$1,777",Condo,3,2.5,34.9,22.9,15.3,11.2,12.2,10.4,9.5,9.8,Island,3,0,1,
604 Maple street 6Family,4/26/2023,"$850,000",Wingate,8000,$106,Multi-family,17,6,,,,,,,,,,,,,
77 Clakson Avenue #5E,3/20/2023,"$635,000",Prospect LeffertsGardens,643,$988,Condo,1,1,12.11,15,11.3,11.1,,,,,Island,2,0,0,
77 Clakson Avenue #4D,3/21/2023,"$645,000",Prospect LeffertsGardens,670,$963,Condo,1,1,10,13.4,11.5,11,,,,,Galley,2,0,0,
7018 Avenue W,6/2/2023,"$889,900",Bergen beach,2104,$423,Multi-family,3,2,,,,,,,,,,,,,32
1291 Shore Parkway,6/13/2023,"$1,095,000",Bath Beach ,1980,$553,Multi-family,4,2,,,,,,,,,,,,,
1654 West 11th street,5/31/2023,"$925,000",Gravesend,1344,$688,House,3,1,,,,,,,,,,,,,
974 East 80th street,5/31/2023,"$1,029,000",Canarsie,2024,$508,Multi-family,6,3,,,,,,,,,,,,,
2347 Brigham Street,5/10/2023,"$769,000",homecrest,2100,$366,Multi-family,3,2,,,,,,,,,,,,,
1818 Newkirk Avenue #3G,5/23/2023,"$699,000",Ditmas Park,1100,$635,Co-op,2,1,16.1,15.5,13.7,15.1,12.1,12.3,,,Galley,1,2,2,
1764 Stuart street,4/20/2023,"$738,000",Sheepshead Bay,1632,$452,House,3,2.5,18.3,11.8,13.7,11.9,13.7,7.8,13.7,16.9,L-shape,8,0,0,
122 Ashland Place #11C,4/11/2023,"$625,000",Downtown Brooklyn,750,$833,Co-op,1,1,5.7,15.7,11,15.1,,,,,Island,4,0,0,
1 Hanson Place #10A,5/30/2023,"$890,000",Fort Greene ,840,"$1,060",Condo,1,1.5,11.1,19.3,12,14.5,,,,,Island,1,0,1,
458 East 25th street #305,3/30/2023,"$475,000",Flatbush,561,$847,Condo,2,1,,,,,,,,,,,,,
458 East 25th street #PH1,3/29/2023,"$600,000",Flatbush,652,$920,Condo,2,1,,,,,,,,,,,,,
963 Cleverland street,4/25/2023,"$874,999",New Lots ,1840,$476,Multi-family,5,3,,,,,,,,,,,,,
85 North 3rd street #209,5/8/2023,"$2,695,000",Williamsburg,1797,"$1,500",Condo,2,2,16.1,25.3,15.5,18.6,10.8,15,,,Island,3,0,1,
1890 Bergen street,5/16/2023,"$999,000",Crown Height,2700,$370,Multi-family,5,3,,,,,,,,,,,,,
132 Freeman street #3F,5/17/2023,"$999,000",Greenpoint,970,"$1,030",Condo,3,1,14.7,21.4,11.2,15.2,11,9.5,8,9.2,Galley,2,0,1,
11 Hoyt street #42F,3/9/2023,"$2,900,000",Downtown Brooklyn,1722,"$1,684",Condo,3,3,20.5,13.9,13.4,12.2,11,10.7,12.5,10.3,Island,3,0,2,
1338 73rd street,3/31/2023,"$2,380,000",Dyker Heights,3440,$692,Multi-family,4,2.5,,,,,,,,,,,,,
1750 East 14th street #2,5/9/2023,"$349,000",homecrest,,#DIV/0!,Co-op,2,1,,,,,,,,,,,,,
526 Union Avenue #606,3/25/2023,"$955,000",Williamsburg,619,"$1,543",New Development,1,1,24.7,13,12.9,9.1,,,,,L-shape,3,0,0,
6619 Wallaston Court,6/9/2023,"$838,000",Bensonhurst,,#DIV/0!,House,3,2,12,17.7,11.8,15.4,9,12,11.8,15.4,Line,8,0,0,
893 Myrtle Avenue #1B,6/12/2023,"$699,000",Bedford-Stuyvesant,1023,$683,Condo,1,1.5,17.9,12.5,17.9,12.5,16.4,20.1,,,L-shape,2,1,0,
143 Norfolk street,5/16/2023,"$888,000",Manhattan Beach,1350,$658,House,3,2,,,,,,,,,,,,,
846 East 48th street ,5/11/2023,"$820,000",Farragut,1797,$456,House,3,2.5,14.6,19,14.6,12.5,8.1,9.11,8.1,13-11,,3,0,0,
111 Steuben street #4A,5/17/2023,"$1,300,000",Clinton Hill,1187,"$1,095",Condo,2,2,27.7,7,13.3,10.9,15.1,10.2,,,Galley,4,0,0,
343 Fouth Avenue #5I,5/17/2023,"$1,725,000",park slope ,1595,"$1,082",Condo,3,2,13.8,11,9.1,22.4,9.5,12.5,9.5,22.2,L-shape,5,0,0,
2 Norhtside Piers #24P,2/24/2023,"$2,845,000",Williamsburg,1555,"$1,830",Condo,2,2.5,23.1,16.9,15,12.7,12.1,11.11,,,Island,3,0,2,
299 Van Buren street #2C,3/22/2023,"$725,000",Stuyvesant Heights,761,$953,Condo,1,1.5,12,13.5,12,15,,,,,L-shape,2,0,0,
462 16th street ,6/2/2023,"$2,800,000",Windsor Terrace ,2430,"$1,152",Multi-family,6,3.5,11,12.9,11,13.9,11,13.9,10.5,11,Galley,6,0,0,
457 State street #2A,4/26/2023,"$660,000",Boerum Hill,,#DIV/0!,Co-op,1,1,13.5,12.5,10.2,7.11,,,,,Galley,1,0,0,
740 East 32nd street #E3,5/15/2023,"$325,000",Flatbush,756,$430,Co-op,1,1,17,12,17.7,11,,,,,Island,4,0,0,
3145 Brighton beach 4th street #218,5/5/2023,"$479,000",Brighton Beach,900,$532,Co-op,2,1,,,,,,,,,,,,,
192 East 8th street #5E,5/31/2023,"$739,000",Kensington,930,$795,Co-op,2,1,17.1,11.6,17,11,12.9,8.9,,,Galley,5,0,0,
220 Berkeley Place #5A,5/31/2023,"$449,000",park slope ,,#DIV/0!,Co-op,0,1,12.6,19,,,,,,,L-shape,2,0,0,
16 Melrose street #4R,5/15/2023,"$599,000",Bushwick,,#DIV/0!,Condo,1,1,11.3,13.7,9.4,13.4,,,,,Island,2,0,0,
1831 83rd street #3A,6/13/2023,"$729,000",Bensonhurst,1232,$592,Condo,3,2,,,,,,,,,,,,,
142 Whitman Drive ,2/1/2023,"$2,675,000",Mill Basin ,5300,$505,House,4,2.5,,,,,,,,,,,,,
467 Tompkins Avenue #4B,5/12/2023,"$895,000",Bedford-Stuyvesant,846,"$1,058",Condo,2,2,8.3,15.3,9.6,12.5,8,14.4,,,L-shape,1,0,0,
511 Evergreen avenue #4B,4/12/2023,"$559,000",Bushwick,,#DIV/0!,Condo,1,1,,,,,,,,,,,,,
9907 Third avenue #3A,4/18/2023,"$989,000",Fort Hamilton,1068,$926,Condo,2,2,15.7,19,11.9,11.8,11.3,9,,,L-shape,2,0,1,
1540 East 36th street,5/18/2023,"$849,000",marine Park,,#DIV/0!,House,3,2.5,,,,,,,,,,,,,
412 Seventh avenue #4R,4/28/2023,"$949,650",park slope ,750,"$1,266",Co-op,2,1,12.4,22.3,10.1,10.9,8.2,11,,,L-shape,4,0,0,
129 Baltic street #3D,4/24/2023,"$930,000",Cobble Hill ,736,"$1,264",Condo,2,1,17.6,17,12,8.3,12,8.4,,,Island,2,0,0,
61 Garfield place ,4/19/2023,"$3,450,000",park slope ,,#DIV/0!,Townhouse,3,3.5,,,,,,,,,,,,,
323 Lenox Road #6F,3/21/2023,"$750,000",Flatbush,809,$927,Condo,2,2,16.11,11.5,11.11,11.11,8.9,10.3,,,Island,2,0,0,
323 Lenox Road #5F,4/24/2023,"$740,000",Flatbush,809,$915,Condo,2,2,16.11,11.5,11.11,11.11,8.9,10.3,,,Island,2,0,0,
40 Clinton street #8A,4/26/2023,"$540,000",Brooklyn Heights,,#DIV/0!,Co-op,1,1,20.1,11.9,10.9,8.2,,,,,L-shape,2,0,0,
526 Union avenue #305,3/25/2023,"$875,000",Williamsburg,605,"$1,446",New Development,1,1,25.8,11,14.6,10,,,,,Line,3,0,0,
1513 East 49th street,6/6/2023,"$769,000",Flatlands,1664,$462,House,3,2.5,14.4,18.9,14.8,15,11.5,10.1,14.8,15.3,Galley,3,0,0,
24 Fayette street #4B,4/3/2023,"$660,000",Bushwick,576,"$1,146",Condo,1,1,13.8,11.7,10.5,10.1,,,,,Island,2,0,0,
272 Saint Mark´s avenue #2R,3/16/2023,"$1,150,000",Prospect Heights,885,"$1,299",Condo,1,1,25.9,12.8,14,9.9,,,,,L-shape,2,0,0,
1828 East 38th street,5/22/2023,"$659,000",marine Park,1000,$659,House,2,1.5,23.9,19.9,13.4,9.9,,,,,,,,,
1 City Point #67H,5/8/2023,"$2,575,815",Downtown Brooklyn,1189,"$2,166",Condop,2,2,11.8,9.1,13.2,12.7,,,,,Island,1,0,1,
4 Lake Avenue,6/5/2023,"$509,000",Sheepshead Bay,618,$824,House,2,1,,,,,,,,,,,,,
1 City Point #38H,3/6/2023,"$1,324,000",Downtown Brooklyn,730,"$1,814",New Development,1,1,11.8,9.1,13.2,12.7,,,,,Island,1,0,1,
1 City Point #24K,3/4/2023,"$1,230,000",Downtown Brooklyn,736,"$1,671",New Development,1,1,11.8,9.1,13.2,12.7,,,,,Island,1,0,1,
108 Bradford street,6/8/2023,"$879,000",East New York,1800,$488,Multi-family,5,2,,,,,,,,,,,,,
550 Vanderbilt Avenue #1119,6/7/2023,"$3,100,000",Prospect heights,1919,"$1,615",Condo,3,3.5,16.2,19.1,13.5,15.3,12.9,11.4,15.4,10.6,Island,6,0,1,
720 Nostrand Avenue #PH,4/17/2023,"$1,295,000",Crown Height,1087,"$1,191",Condo,2,2,17.2,12.7,15,10.7,12.1,12.4,,,Island,1,0,1,
362 Eastern parkway #2B,4/26/2023,"$1,100,000",Crown Height,1036,"$1,062",Condo,2,2,14.9,14.8,13.5,11.3,9.9,11.1,,,L-shape,2,0,0,
