Address (Brooklyn),Close Date,Sale Price,Neighborhood,Square Footage (ft2),PPSF,Type,Beds,Baths,Living Room Width,Living Room Length,Bedroom 1 Width,Bedroom 1 Length,Bedroom 2 Width,Bedroom 2 Length,Bedroom 3 Width,Bedroom 3 Length,"Kitchen Type (Line, L-shape, Island, Galley)",Closets,Walk In (Living Room),Walk In (Master Bedroom),
197 Bay 47th Street #7,4/27/2023,"$829,000",Gravesend,"1,622",$511,Condo,2,3,22.2,13.1,14.6,23.2,10.8,17.5,,,Line,0,1,1,
2152 West Tenth Street,5/17/2023,"$990,000",Gravesend,"1,440",$688,Multi-family ,3,2,,,,,,,,,,,,,
601 Surf Avenue #20L,6/9/2023,"$700,000",Coney Island,"1,200",$583,Condo,3,1.5,,,,,,,,,,,,,
3111 Brighton First Place #5D,2/15/2023,"$509,000",Brighton Beach,"1,100",$463,Co-op,2,1,24,12,17,10.4,16.2,10.6,,,Galley,4,0,0,
755 42nd Street #1,4/20/2023,"$699,000",Sunset Park,1000,$699,Co-op,3,1,11.9,14.6,14.6,16.1,,,,,L-shape,5,0,0,
601 Surf Avenue #APT7,4/28/2023,"$495,000",Coney Island,1000,$495,Condo,2,1,,,,,,,,,,,,,
19 Irvington Place,1/25/2023,"$2,350,000",Ditmas Park,"3,350",$701,House,6,2,23.6,11.8,17,15,11.4,18,11.4,18,L-shape,6,0,1,
25 Parade Place #6K,4/27/2023,"$769,000",Prospect Park South,,#DIV/0!,Co-op,1,1,22,12.1,18.1,12,,,,,Galley,4,0,0,
1075 East 72nd Street #44,6/29/2023,"$499,000",Bergen Beach,"1,210",$412,Condo,3,3,,,,,,,,,,,,,
70 Washington Street #2U,3/5/2023,"$1,499,000",Dumbo,"1,191","$1,259",Condo,1,2,19,16.5,13,11.6,10.7,10.4,,,Island,4,0,0,
407 Sackett Street,2/16/2023,"$4,200,000",Carroll Gardens ,"4,200","$1,000",Multi-family ,5,4,15.2,26,15,11.6,8,9.6,15.8,14.6,Island,11,0,0,
710 Metropolitan Avenue #4G,7/5/2023,"$1,675,000",Williamsburg,"1,181","$1,418",Condo,2,2,21.6,13.4,13.3,10.3,14.8,12.1,,,Island,4,0,0,
298 Lafayette Avenue,5/19/2023,"$3,950,000",Clinton Hill,"3,500","$1,129",Multi-family ,5,3,12,26.5,11.11,16.2,18.3,16.6,18.5,16.6,Island,2,0,2,
592 Bainbridge Street,1/17/2023,"$1,599,000",Ocean Hill,"2,700",$592,Multi-family ,6,3.5,12.6,16.7,12.8,16.6,12.1,17.8,12,15,Line,10,0,0,
5011 Surf Avenue,3/31/2023,"$1,099,000",Seagate,"2,968",$370,Multi-family ,7,4,,,,,,,,,,,,,
75 Livingston Street #22C,2/7/2023,"$1,649,900",Brooklyn Heights,"1,255","$1,315",Co-op,2,2,,,,,,,,,,,,,
229 Hart Street,2/18/2023,"$825,000",Stuyvesant Heights,"1,428",$578,House,3,2,,,,,,,,,,,,,
3090 Voorhies Avenue #5F,3/3/2023,"$290,000",Sheepshead Bay,950,$305,Co-op,2,1,,,,,,,,,,,,,
242 7th Street,3/1/2023,"$1,499,000",Gowanus,"1,575",$952,Multi-family ,4,2.5,10.2,16.7,9,18.7,13.3,13.8,14.4,16.3,Line,6,0,0,
589 East 89th Street #1,4/30/2023,"$1,500,000",Canarsie,"3,780",$397,Multi-family ,10,6,,,,,,,,,,,,,
1007 Bergen Street #1B,3/12/2023,"$1,395,000",Crown Heights,"1,661",$840,Condo,2,2.5,18.3,18.4,9.5,16.5,8.3,12.8,,,Island,4,1,0,
296 Stratford Road,5/2/2023,"$2,895,000",Ditmas Park,"2,275","$1,273",House,4,3.5,25.3,10.11,25,13.7,11.6,9.11,9.7,17.3,Galley,7,0,1,
408 Saint John's Place #4A,2/26/2023,"$1,495,000",Prospect Heights,,#DIV/0!,Co-op,3,2,11.7,19.6,13,13.6,10,12.5,8,12.5,Island,2,0,1,
2449 Coyle Street,3/14/2023,"$998,000",Sheepshead Bay,,#DIV/0!,Multi-family ,5,3.5,,,,,,,,,,,,,
691 Lenox Road,4/26/2023,"$650,000",East Flatbush,"1,560",$417,Multi-family ,4,2.5,11.1,12.9,14.3,10.7,14.2,12,7.1,6.1,Line,9,0,0,
4668 Bedford Avenue #3C,6/1/2023,"$615,000",Sheepshead Bay,"1,039",$592,Condo,2,2,,,,,,,,,,,,,
1821 Avenue V,1/24/2023,"$1,499,000",Homecrest,"2,000",$750,House,3,2.5,,,,,,,,,,,,,
1070 East 52nd Street,6/28/2023,"$599,000",East Flatbush,924,$648,House,2,1,,,,,,,,,,,,,
427 Hancock Street,5/18/2023,"$1,899,999",Stuyvesant Heights,"3,192",$595,Multi-family ,6,3.5,11.3,16.9,17,17.4,11.3,14.9,6,12.6,Line,10,2,3,
23 Wyckoff Street #PH,2/25/2023,"$2,099,000",Cobble Hill,"1,199","$1,751",Condo,2,2,16.8,21.5,13.3,10.9,11.11,10.3,,,Island,1,0,1,
2950 Ocean Avenue #B5,2/21/2023,"$255,000",Sheepshead Bay,800,$319,Co-op,1,1,,,,,,,,,,,,,
129 Bay Ridge Parkway #3,2/18/2023,"$625,000",Bay Ridge,,#DIV/0!,Co-op,2,1.5,17.6,17,12.8,9,15.7,11.2,,,Galley,3,0,1,
340 East 26th Street,2/15/2023,"$875,000",Flatbush,"1,488",$588,Townhouse,4,2,12,19.6,11.7,13.8,11.7,16.2,7,9.5,Galley,5,0,1,
541 77th Street,4/28/2023,"$999,000",Bay Ridge,"1,464",$682,House,3,2.5,,,,,,,,,,,,,
2455 Haring Street #1A,3/24/2023,"$249,000",Sheepshead Bay,"1,100",$226,Co-op,2,1,,,,,,,,,,,,,
697 Miller Avenue #1,4/4/2023,"$1,100,000",East New York,,#DIV/0!,Building,11,6,,,,,,,,,,,,,
1 Main Street #8K,2/15/2023,"$2,195,000",DUMBO,"1,414","$1,552",Condo,1,2,16.4,25,12.6,23.8,11.4,10.1,,,Island,2,0,1,
200 Congress Street #5C,4/27/2023,"$765,000",Cobble Hill,80,"$9,563",Co-op,1,1,11.8,18,12.1,12.5,,,,,Galley,3,0,0,
2115 81st Street,2/15/2023,"$1,698,888",Bensonhurst,"3,036",$560,Multi-family ,5,2.5,,,,,,,,,,,,,
85 Mc Kinley Avenue,2/8/2023,"$780,000",City Line,"1,760",$443,Multi-family ,5,2.5,15,10.3,11,7.9,15,8,,,Line,11,0,0,
556 State Street #6DS,2/19/2023,"$995,000",Boerum Hill,974,"$1,022",Condo,2,2,12,11.4,9.11,15,10.1,15.6,,,Island,0,0,1,
160 Imlay Street #5C1,5/3/2023,"$2,975,000",Red Hook,"3,169",$939,Condo,3,3.5,33.5,25.1,16.4,21.11,15.2,10.4,9.11,15,Island,3,0,1,
190 Garfield Place #1D,5/2/2023,"$1,750,000",Park Slope,"1,298","$1,348",Condo,2,2,13.5,11.6,19.7,10.8,16.5,11,,,L-shape,3,0,1,
8 Jardine Place,4/28/2023,"$999,000",Ocean Hill,"2,295",$435,Multi-family ,4,3.5,27.11,16.1,16.3,16,10.6,9.1,11.1,16.1,Island,8,0,0,
2233 Schenectady Avenue,2/6/2023,"$880,000",Flatlands,"2,050",$429,House,5,1.5,19.3,11.5,16.7,11.5,10.3,12.4,8.4,9.9,Galley,4,0,0,
2826 Brigham Street,2/14/2023,"$1,285,000",Sheepshead Bay,"3,333",$386,Multi-family ,7,3,11.7,17.8,11.1,15.3,9,11.3,9.5,11.2,Galley,4,0,1,
710 Metropolitan Avenue #6A,7/5/2023,"$795,000",Williamsburg,535,"$1,486",Condo,1,1,9.4,19.6,8,12.1,,,,,Line,2,1,0,
140 East Second Street #5N,1/11/2023,"$525,000",Windsor Terrace,775,$677,Co-op,1,1,19.8,11.1,11.2,16.9,8,12.3,,,Galley,4,0,0,
149 Lafayette Avenue #4A,3/20/2023,"$945,000",Fort Greene,,#DIV/0!,Co-op,2,1,22,16,12.2,11.1,11.5,9.7,,,Line,4,0,0,
404 Monroe Street,2/17/2023,"$2,749,000",Bedford-Stuyvesant,"3,236",$850,Multi-family ,6,4,12,25,19.3,11,19.3,15,12.2,11,L-shape,2,0,1,
370 East 32nd Street,5/19/2023,"$1,249,000",Flatbush,"3,000",$416,Multi-family ,7,5,9.6,13.4,7.11,13.4,6.8,14.5,,,L-shape,9,0,0,
2925 West 5th Street #14E,2/18/2023,"$349,000",Coney Island,750,$465,Co-op,1,1,,,,,,,,,,,,,
97 Newell Street #1,6/6/2023,"$1,775,000",Greenpoint,"7,111",$250,Multi-family ,12,6,8.8,16.6,10.7,12.3,,,,,Line,3,0,0,
315 Gates Avenue #5F,3/29/2023,"$725,000",Bedford-Stuyvesant,676,"$1,072",Condo,1,1,17.8,12,13,11,,,,,Island,2,0,0,
1015 President Street #1R,1/9/2023,"$895,000",Crown Heights,"1,055",$848,Condo,1,1.5,16.9,9.9,12.9,8,,,,,Line,2,0,0,
1015 President Street #1F,2/25/2023,"$575,000",Crown Heights,787,$731,Condo,0,1.5,16.111,12.8,,,,,,,Island,0,0,0,
84 Stryker Street,3/12/2023,"$1,249,000",Gravesend,"2,600",$480,Multi-family ,5,3,,,,,,,,,,,,,
1945 West 12th Street,4/21/2023,"$1,090,000",Gravesend,"2,400",$454,Multi-family ,6,2,,,,,,,,,,,,,
290 Park Place,2/23/2023,"$4,025,000",Prospect Heights,"4,500",$894,Townhouse,5,3,17,19.4,11.6,12.8,11.6,16.6,12.1,16.9,Galley,20,0,0,
776 Troy Avenue,3/15/2023,"$940,000",East Flatbush,"2,338",$402,Multi-family ,6,4.5,,,,,,,,,Line,5,0,0,
909 East 29th Street #4A,2/14/2023,"$175,000",Midwood,,#DIV/0!,Co-op,0,1,16.2,16.3,,,,,,,Line,3,0,0,
73 Verona Street,4/14/2023,"$1,299,999",Red Hook,"1,500",$867,House,2,3,,,,,,,,,,,,,
2645 Homecrest Avenue #6F,3/17/2023,"$295,000",Sheepshead Bay,"1,000",$295,Co-op,2,1,,,,,,,,,,,,,
2605 East 65th Street,3/30/2023,"$995,000",Mill Basin,"2,808",$354,Multi-family ,4,3.5,,,,,,,,,,,,,
397 Marlborough Road,6/21/2023,"$2,150,000",Ditmas Park,"1,994","$1,078",Multi-family ,4,4,,,,,,,,,,,,,
1372 East 93rd Street,6/19/2023,"$769,000",Canarsie,"1,408",$546,Multi-family ,3,2,,,,,,,,,,,,,
9800 Avenue L,6/12/2023,"$599,000",Canarsie,"1,264",$474,House,3,2,,,,,,,,,,,,,
343 Fourth Avenue #10A,6/1/2023,"$1,050,000",Park Slope,,#DIV/0!,Condo,2,2,16.3,12.8,10,8.9,11,12.6,,,L-shape,4,0,0,
1653 East 4th Street,3/5/2023,"$2,250,000",Midwood,"2,720",$827,Multi-family ,7,4,,,,,,,,,,,,,
1275 East 51st Street #7X,5/12/2023,"$330,000",East Flatbush,"1,100",$300,East Flatbush,3,1.5,,,,,,,,,,,,,
328 Sterling Place #4D,6/16/2023,"$895,000",Prospect Heights,,#DIV/0!,Co-op,2,1,11.8,15,12.7,12.9,9.9,13.7,,,,,,,
224 Highland Boulevard #809,4/5/2023,"$275,000",East New York,900,$306,Co-op,1,1,20.9,12.5,12.2,18.8,,,,,Galley,3,0,0,
274 19th Street,7/7/2023,"$2,195,000",Greenwood,"3,200",$686,Multi-family,8,4,,,,,,,,,,,,,
2823 East 26th Street #2B,7/7/2023,"$519,900",Sheepshead Bay,600,$867,Condo,1,1,,,,,,,,,,,,,
1146 East 82nd Street,7/7/2023,"$649,000",Canarsie,"1,120",$579,House,3,2,,,,,,,,,,,,,
345 Carroll Street #3C,7/7/2023,"$1,850,000",Carroll Gardens,"1,262","$1,466",Condo,2,2,,,,,,,,,,,,,
2100 Bedford Avenue #8E,7/7/2023,"$699,000",Flatbush,691,"$1,012",Condo,1,1,13.8,16.8,11,13.1,,,,,Island,3,0,0,
1118 East 87th Street,7/7/2023,"$1,068,000",Canarsie,"3,527",$303,Multi-family,6,4,,,,,,,,,,,,,
444 12th Street #5D,7/7/2023,"$2,950,000",Park Slope,"1,660","$1,777",Condo,4,3,,,,,,,,,,,,,
90 Furman Street #N1014,7/7/2023,"$2,500,000",Brooklyn Heights,"1,281","$1,952",Condo,1,1.5,,,,,,,,,,,,,
417 52nd Street,7/7/2023,"$1,300,000",Sunset Park,"2,853",$456,Multi-family,3,3,,,,,,,,,,,,,
694 Park Place #HSE,7/7/2023,"$1,990,000",Crown Heights,"3,384",$588,Multi-family,6,4,,,,,,,,,,,,,
298 Saint Mark's Avenue,7/7/2023,"$2,600,000",Prospect Heights,"2,700",$963,Multi-family,3,3,,,,,,,,,,,,,
111 Hicks Street #12C,7/7/2023,"$525,000",Brooklyn Heights,,#DIV/0!,Co-op,0,1,15.9,11.8,7.7,8.7,,,,,Island,4,0,0,
225 Park Place #3K,7/7/2023,"$609,000",Prospect Heights,,#DIV/0!,Co-op,0,1,,,,,,,,,,,,,
337 Lincoln Road #4L,7/7/2023,"$775,000",Prospect Lefferts Gardens,953,$813,Condo,3,2,,,,,,,,,,,,,
710 Metropolitan Avenue #4A,7/7/2023,"$815,000",Williamsburg,533,"$1,529",Condo,1,1,,,,,,,,,,,,,
454 51st Street,7/7/2023,"$1,398,000",Sunset Park,"2,652",$527,Multi-family,5,2.5,,,,,,,,,,,,,
185 Saint Mark's Avenue #1R,7/7/2023,"$1,175,000",Prospect Heights,950,"$1,237",Co-op,2,2,15.3,9.5,8.1,9.5,12.1,12.7,,,Island,2,0,0,
2320 National Drive,7/7/2023,"$1,359,000",Mill Basin,"3,240",$419,Multi-family,3,2,,,,,,,,,,,,,
2680 East 19th Street #H1,7/6/2023,"$189,000",Sheepshead Bay,500,$378,Co-op,0,1,,,,,,,,,,,,,
1474 East 59th Street,7/6/2023,"$649,900",Flatlands,"1,232",$528,House,3,1.5,,,,,,,,,,,,,
143 Winthrop Street #2B,7/6/2023,"$549,000",Prospect Lefferts Gardens,581,$945,Condo,1,1,,,,,,,,,,,,,
274 21st Street #1A,7/6/2023,"$695,000",Greenwood,880,$790,Condo,0,1.5,,,,,,,,,,,,,
1717 East 18th Street #2J,7/6/2023,"$450,000",Homecrest,988,$455,Co-op,2,1,,,,,,,,,,,,,
199 Conover Street #3F,7/6/2023,"$925,000",Red Hook,671,"$1,379",Condo,1,1,,,,,,,,,,,,,
710 Metropolitan Avenue #2M,7/6/2023,"$705,000",Williamsburg,,#DIV/0!,Condo,0,1,,,,,,,,,,,,,
161 North 4th Street #1A,7/6/2023,"$1,349,000",Williamsburg,"1,210","$1,115",Condo,3,2,,,,,,,,,,,,,
1657 East 19th Street #4B,7/6/2023,"$447,000",Homecrest,605,$739,Condo,1,1,,,,,,,,,,,,,
1657 East 19th Street #4A,7/6/2023,"$439,000",Homecrest,631,$696,Condo,1,1,,,,,,,,,,,,,
160-21 79th Avenue,7/6/2023,"$750,000",Pomonok,,#DIV/0!,House,3,2.5,,,,,,,,,,,,,
195 Willoughby Avenue #903,7/6/2023,"$660,000",Clinton Hill,,#DIV/0!,Co-op,1,1,,,,,,,,,,,,,
430 Kosciuszko Street #3,7/6/2023,"$885,000",Stuyvesant Heights,915,$967,Condo,2,1,,,,,,,,,,,,,
267A Lewis Avenue,7/6/2023,"$2,049,999",Stuyvesant Heights,"3,350",$612,Multi-family,5,5,,,,,,,,,,,,,
22 Linden Street #TWNHSE,7/6/2023,"$1,799,000",Bushwick,"2,850",$631,Multi-family,6,3.5,,,,,,,,,,,,,
390 Bergen Street,7/6/2023,"$4,200,000",Park Slope,"3,850","$1,091",Multi-family,7,6,,,,,,,,,,,,,
1505 East 29th Street,7/6/2023,"$698,000",Homecrest,"1,352",$516,House,3,2,,,,,,,,,,,,,
333 84th Street,7/6/2023,"$1,380,000",Bay Ridge,"1,626",$849,House,3,2.5,,,,,,,,,,,,,
11A Somers Street #GARDEN,7/6/2023,"$795,000",Ocean Hill,"1,139",$698,Condo,2,2.5,,,,,,,,,,,,,
99 Conselyea Street #2R,7/6/2023,"$949,000",Williamsburg,679,"$1,398",Condo,1,1,,,,,,,,,,,,,
108 Himrod Street,7/6/2023,"$1,995,000",Bushwick,"3,000",$665,Multi-family,5,3.5,,,,,,,,,,,,,
943 Saint Mark's Avenue #4C,7/5/2023,"$550,000",Crown Heights,,#DIV/0!,Condo,2,1,,,,,,,,,,,,,
135 Ocean Parkway #17G,7/5/2023,"$325,000",Kensington,,#DIV/0!,Co-op,0,1,,,,,,,,,,,,,
42 Maspeth Avenue #1G,7/5/2023,"$600,000",Williamsburg,520,"$1,154",Condo,0,1,,,,,,,,,,,,,
135 Willow Street #706,7/5/2023,"$1,080,000",Brooklyn Heights,,#DIV/0!,Co-op,2,1,,,,,,,,,,,,,
1410 Avenue S #5E,7/5/2023,"$345,000",Homecrest,825,$418,Co-op,1,1,,,,,,,,,,,,,
3039 Ocean Parkway #A2,7/5/2023,"$445,000",Brighton Beach,"1,400",$318,Co-op,0,1,,,,,,,,,,,,,
2043 71st Street,7/5/2023,"$1,980,000",Bensonhurst,"3,080",$643,Multi-family,8,4,,,,,,,,,,,,,
669 Saint Marks Avenue #PHB,7/5/2023,"$2,100,000",Crown Heights,"1,256","$1,672",Condo,2,2,,,,,,,,,,,,,
669 Saint Marks Avenue #4B,7/5/2023,"$1,825,000",Crown Heights,"1,218","$1,498",Condo,3,2.5,,,,,,,,,,,,,
1247 East 86th Street #2FAM,7/5/2023,"$999,900",Canarsie,"2,400",$417,Multi-family,7,3.5,,,,,,,,,,,,,
1405 73rd Street,4/29/2023,"$2,300,000",Bensonhurst,"3,000",$767,Multi-family,6,2.5,,,,,,,,,,,,,
2912 Brighton 12th Street #5F,4/29/2023,"$280,000",Brighton Beach,,#DIV/0!,Co-op,1,1,,,,,,,,,,,,,
815 Eighth Avenue #2F,4/29/2023,"$825,000",Park Slope,,#DIV/0!,Co-op,2,1,11,12,10.3,12,10.3,9.2,,,Galley,1,0,0,
360 Furman Street #939,4/28/2023,"$1,895,000",Brooklyn Heights,"1,385","$1,368",Condo,2,2,17.3,30.3,11.3,16.8,8.5,9.8,,,Island,2,0,1,
1263 President Street,4/28/2023,"$3,500,000",Crown Heights,"5,100",$686,House,10,7,,,,,,,,,,,,,
533 Pacific Street #3E,4/28/2023,"$1,055,925",Boerum Hill,714,"$1,479",Condo,1,1,19.1,12.3,12.4,11.2,,,,,Island,1,0,1,
533 Pacific Street #8B,4/28/2023,"$2,115,000",Boerum Hill,"1,133","$1,867",Condo,2,2,22.3,12.11,13.4,11,12.4,10,,,Island,3,0,1,
45 Bay 38th Street #2A,4/28/2023,"$699,000",Gravesend,"1,045",$669,Condo,3,2,,,,,,,,,,,,,
150 Joralemon Street #12D,4/28/2023,"$1,150,000",Brooklyn Heights,,#DIV/0!,Co-op,2,2,14.11,15.8,8.5,15.4,12,13.6,13.6,10,L-shape,3,0,0,
85 Jay Street 16F-YORK,4/28/2023,"$2,150,000",DUMBO,"1,291","$1,665",Condo,2,2,19.9,16.3,11.4,10.11,15.3,10.3,,,Island,2,0,1,
220 Lewis Avenue,4/28/2023,"$2,200,000",Stuyvesant Heights,"3,715",$592,Multi-family,5,3,11.9,28.6,9.9,12.7,7.2,13.7,18.2,11.1,Island,10,0,0,
429 9th Street,4/28/2023,"$3,000,000",Park Slope,"3,655",$821,Multi-family,4,4,18,13,11.7,13.4,18,15.8,11.1,13.9,Line,10,1,2,
9956 Third Avenue #502,4/28/2023,"$979,000",Fort Hamilton,"1,110",$882,Condo,2,2,,,,,,,,,,,,,
533 Pacific Street #8E,4/28/2023,"$2,675,000",Boerum Hill,"1,416","$1,889",Condo,3,2,14.11,23,10,10.8,11.4,13.8,11,10,Island,4,0,2,
45 Argyle Road #2C,4/28/2023,"$665,000",Prospect Park South,700,$950,Condo,2,1,14.8,18,9.7,14,9.7,14,,,L-shape,2,0,0,
245 Manhattan Avenue #1A,2/18/2023,"$1,485,000",Williamsburg,"1,539",$965,Condo,2,1.5,20,19.5,7.3,12.5,,,,,Line,2,0,0,
137 Eldert Street #4,5/11/2023,"$775,000",Bushwick,"1,026",$755,Condo,2,2,13.7,8.3,15,17.3,10.9,8.4,10.9,8.4,Island,2,0,1,
207 Ocean Parkway #4K,5/31/2023,"$389,000",Kensington,,#DIV/0!,Co-op,1,1,11.1,19.7,10.9,19.2,,,,,Island,3,0,0,
111 Montgomery Street #6E,4/17/2023,"$1,060,000",Crown Heights,"1,014","$1,045",Condo,2,2,19.7,20,14.8,12.4,10.6,12,,,Island,2,0,1,
545 Washington Avenue #507,4/10/2023,"$880,000",Clinton Hill,806,"$1,092",Condo,1,1,,,,,,,,,Line,2,0,0,
1109 Halsey Street #2A,4/21/2023,"$795,000",Bushwick,"1,030",$772,Condo,2,2,14.3,24.6,9.8,16.2,8.8,14.6,,,Line,4,0,1,
621 Vanderbilt Street,1/24/2023,"$1,999,000",Windsor Terrace,"2,043",$978,House,3,1,25.2,10.3,14.2,10.3,11,10.2,11,10,Galley,4,0,0,
1360 Ocean Parkway #12H,4/12/2023,"$369,000",Midwood,970,$380,Co-op,2,1,,,,,,,,,Galley,3,1,1,
453 State Street,3/14/2023,"$2,300,000",Boerum Hill,"2,576",$893,Multi-family,4,2.5,15.5,18.3,15.5,14.9,15.5,11.2,15.5,16.4,Line,6,0,0,
1466 East 19th Street,7/8/2023,"$1,599,000",Midwood,"2,480",$645,Multi-family,5,3,,,,,,,,,,,,,
710 Sixth Avenue #5A,3/29/2023,"$1,079,000",Greenwood,931,"$1,159",Condo,2,2,19,11.9,15,12,11,9,,,L-shape,4,0,0,
271 McDonald Avenue #1,1/11/2023,"$1,250,000",Windsor Terrace,"2,158",$579,Condo,2,2.5,17.2,15.2,11.2,8.1,11.1,19,,,Island,5,0,0,
1149 Prospect Avenue #2R,6/3/2023,"$800,000",Windsor Terrace,,#DIV/0!,Co-op,2,1,,,,,,,,,,,,,
1862 East 27th Street,3/17/2023,"$1,295,000",Windsor Terrace,"1,920",$674,Multi-family,4,1.5,14.6,15,14.7,15,9.3,15,9.5,11.5,Line,10,0,1,
593 11th Street,4/20/2023,"$4,395,000",Park Slope,"3,783","$1,162",House,4,4.5,,,,,,,,,Line,13,0,0,
111 Hicks Street #6J,6/13/2023,"$625,000",Brooklyn Heights,,#DIV/0!,Co-op,1,1,,,,,,,,,,,,,
317 Greene Avenue #3B,4/7/2023,"$950,000",Bedford-Stuyvesant,860,"$1,105",Condo,2,1,15,16.6,15,12,7.6,8.6,,,Island,1,0,0,
1270 East 51st Street #3P,2/17/2023,"$205,000",East Flatbush,,#DIV/0!,Co-op,1,1,,,,,,,,,,,,,
184 Powers Street,1/27/2023,"$2,499,000",Williamsburg,"2,160","$1,157",House,4,3.5,18.9,20,13.5,13.7,8.4,10.5,9.8,10.6,Island,4,0,0,
185 Hall Street #716,3/26/2023,"$610,000",Clinton Hill,,#DIV/0!,Co-op,1,1,12,24.8,11,19.4,,,,,Galley,3,0,0,
50 Bridge Park Drive #8A,1/26/2023,"$4,390,000",Brooklyn Heights,"2,439","$1,800",Condo,4,3.5,,,,,,,,,Island,5,0,2,
2155 East 28th Street,2/15/2023,"$838,000",Homecrest,"1,524",$550,House,2,1.5,,,,,,,,,,,,,
72 Riverdale Avenue,4/16/2023,"$759,000",Brownsville,"1,000",$759,Building,3,2,,,,,,,,,,,,,
111 Montgomery Street #2G,2/6/2023,"$681,559",Montgomery,687,$992,Condo,1,1,11.7,15.7,10,11.4,,,,,L-shape,2,0,0,
98 Front Street #PH3C,5/2/2023,"$2,250,000",DUMBO,"1,232","$1,826",Condo,2,2,10.9,14.11,12,13,10,11.2,,,Island,3,0,1,
201 Clinton Avenue #14F,3/7/2023,"$940,000",Clinton Hill,,#DIV/0!,Co-op,2,1,20.6,11.2,17.9,10.6,14,11.4,,,Line,4,0,0,
360 Furman Street #938,2/9/2023,"$1,400,000",Brooklyn Heights,"1,020","$1,373",Condo,1,1,12,32.3,10.8,14.4,11.2,8,,,Line,3,0,0,
437 Sackett Street,4/24/2023,"$2,295,000",Carroll Gardens,"2,400",$956,Multi-family,3,2.5,12.4,13.1,13.3,17.2,12.11,10.1,12.1,8.2,Galley,2,0,1,
131 74th Street #2M,5/6/2023,"$385,000",Bay Ridge,715,$538,Co-op,1,1,18.7,11.1,15.1,10,,,,,Galley,0,0,1,
424 Linden Boulevard,2/3/2023,"$890,000",East Flatbush,"3,478",$256,House,4,2.5,11,12,9.7,12,11.1,12.2,8.5,10.5,L-shape,6,0,0,
2940 West 5th Street #20A,6/10/2023,"$309,000",Coney Island,750,$412,Co-op,1,1,12,21.1,15.4,11.2,,,,,Galley,3,0,0,
7201 17th Avenue,2/25/2023,"$1,698,888",Bensonhurst,"2,300",$739,Multi-family,5,3,,,,,,,,,,,,,
3705 Foster Avenue,2/5/2023,"$599,000",Farragut,"1,344",$446,House,3,2,11,18.3,12,9.2,10.3,8.11,12.1,9.2,Galley,3,0,0,
1568 81st Street,5/12/2023,"$1,399,000",Bensonhurst,"2,415",$579,Multi-family,4,2.5,,,,,,,,,,,,,
1717 East 18th Street #4D,7/2/2023,"$529,000",Homecrest,"1,200",$441,Co-op,2,2,,,,,,,,,,,,,
75 Livingston Street #14AB,3/4/2023,"$2,500,000",Brooklyn Heights,"2,500","$1,000",Co-op,4,2,15.1,23.7,15.2,16.4,12.7,12.5,14,10.4,L-shape,6,0,0,
764 Saint John's Place #3C,3/6/2023,"$539,000",Crown Heights,467,"$1,154",Condo,1,1,15.1,10.8,12.6,10.8,,,,,Island,2,0,0,
373 Palmetto Street #2A,3/15/2023,"$639,000",Bushwick,644,$992,Condo,1,1,,,,,,,,,,,,,
8313 Twelfth Avenue,4/19/2023,"$1,187,500",Dyker Heights,"2,257",$526,House,4,1.5,15.4,11,14.1,11.4,,,,,Island,0,0,1,
671A Quincy Street #TWNHSE,6/30/2023,"$1,495,000",Stuyvesant Heights,"2,641",$566,Multi-family,5,3.5,15.8,16,18,12.8,8,12,10,11.4,Galley,5,0,0,
172A 26th Street,4/20/2023,"$999,000",Greenwood,"1,440",$694,Multi-family,3,2.5,,,,,,,,,,,,,
117 Kingsland Avenue #1C,4/13/2023,"$999,999",Williamsburg,"1,501",$666,Condo,2,1.5,22.8,15.1,13.11,10.6,10.3,13.5,9.1,12.6,Island,1,1,0,
355 Kings Highway #4B,3/22/2023,"$625,000",Gravesend,"1,033",$605,Condo,2,2,,,,,,,,,,,,,
360 Tompkins Avenue #1,5/10/2023,"$1,195,000",Bedford-Stuyvesant,"1,165","$1,026",Condo,2,1.5,13.3,16.5,8.3,10.11,9.4,14.3,,,Island,3,0,0,
2928 West Fifth Street #3E,1/30/2023,"$369,000",Coney Island,900,$410,Co-op,2,1,,,,,,,,,,,,,
348 Vernon Avenue,6/6/2023,"$1,999,999",Stuyvesant Heights,"3,150",$635,Multi-family,5,4.5,,,,,,,,,Island,6,0,0,
135 Ocean Parkway #4M,3/2/2023,"$849,999",Kensington,"1,200",$708,Co-op,2,2,25.6,12.6,14,10,17,11,,,Galley,5,0,0,
2273 Pacific Street,2/14/2023,"$660,000",Crown Heights,"1,560",$423,Multi-family,4,3,,,,,,,,,,,,,
1128 Bushwick Avenue,5/18/2023,"$1,300,000",Bushwick,"2,775",$468,Multi-family,8,3,,,,,,,,,,,,,
769 Argyle Road,2/28/2023,"$1,499,000",Ditmas Park,"2,600",$577,House,5,2,21.4,14.2,12.8,10.7,20.9,11.9,13.1,17.5,Galley,6,0,1,
139 Skillman Avenue #5B,5/5/2023,"$780,000",Williamsburg,,#DIV/0!,Condo,1,1,12.3,11.7,10,11.2,,,,,L-shape,3,0,0,
95 South 8th Street #2,2/7/2023,"$625,000",Williamsburg,"1,450",$431,Condo,3,2,10.1,22.1,11.1,16.3,9.11,11.1,,,Galley,4,0,0,
